variant,seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,regret,budget_cost,budget_realized_delta_q,budget_ose
raw,42,tum_fr1_desk_val,learned,0.1,0.020175015553832054,0.14877355098724365,0.13560887714156367,0.27485354428505515,0.0,0.1285985354334116,255.08649063110352,0.06568673253059387,0.4415215451905872
raw,42,tum_fr1_desk_val,learned,0.2,0.09792017936706543,0.22372642159461975,0.4376781888002019,0.4570777467295586,0.375,0.12580624222755432,529.3666648864746,0.08432668447494507,0.32841975404627755
raw,42,tum_fr1_desk_val,learned,0.4,0.18578216433525085,0.37412458658218384,0.49657832185444173,0.5610806315449728,0.5,0.18834242224693298,1065.9492683410645,0.19192905724048615,0.513008472502323
raw,42,tum_fr1_desk_val,learned,0.6,0.35099634528160095,0.4049728810787201,0.8667156568101567,0.6286651457058267,0.7083333333333334,0.05397653579711914,1603.9134712219238,0.3470158576965332,0.8568865714319361
raw,42,tum_fr1_desk_val,learned,0.8,0.3615151047706604,0.44048771262168884,0.8207155073903075,0.6680011418301708,0.8125,0.07897260785102844,2130.922981262207,0.35778284072875977,0.8122423712195541
raw,42,tum_fr1_desk_val,error_only,0.1,0.06857450306415558,0.14877355098724365,0.46093205411703086,0.5437648392698797,0.5,0.08019904792308807,256.9504623413086,0.06857451051473618,0.4609321041970353
raw,42,tum_fr1_desk_val,error_only,0.2,0.09010078012943268,0.22372642159461975,0.40272747161448696,0.5804943631866961,0.5,0.13362564146518707,515.6719818115234,0.09010078012943268,0.3509076187891388
raw,42,tum_fr1_desk_val,error_only,0.4,0.15207260847091675,0.37412458658218384,0.40647583682061117,0.6156377613489047,0.5,0.2220519781112671,1065.4119758605957,0.15207260847091675,0.4064759015793893
raw,42,tum_fr1_desk_val,error_only,0.6,0.2432376742362976,0.4049728810787201,0.6006270533032202,0.681100949383126,0.7083333333333334,0.16173520684242249,1590.2780227661133,0.25232094526290894,0.6230563384681865
raw,42,tum_fr1_desk_val,error_only,0.8,0.30563119053840637,0.44048771262168884,0.6938472398716469,0.7020569025984296,0.78125,0.13485652208328247,2113.029956817627,0.31013938784599304,0.7040817029668162
raw,42,tum_fr1_desk_val,heuristic,0.1,0.005611671134829521,0.14877355098724365,0.03771954571491829,0.1064469057048335,0.0,0.14316187985241413,261.2393493652344,0.005611671134829521,0.03771954571491829
raw,42,tum_fr1_desk_val,heuristic,0.2,0.07920163124799728,0.22372642159461975,0.35401106021977047,0.21468645409951836,0.125,0.14452479034662247,501.0509796142578,0.07920163124799728,0.30845965801323155
raw,42,tum_fr1_desk_val,heuristic,0.4,0.3357294201850891,0.37412458658218384,0.8973732902143993,0.4798170475337186,0.5,0.03839516639709473,1038.1252822875977,0.3469972312450409,0.9274912414148159
raw,42,tum_fr1_desk_val,heuristic,0.6,0.38808923959732056,0.4049728810787201,0.9583091810505469,0.5190286223306101,0.7083333333333334,0.016883641481399536,1593.5699768066406,0.38411521911621094,0.9484960581575321
raw,42,tum_fr1_desk_val,heuristic,0.8,0.39814072847366333,0.44048771262168884,0.9038633951112525,0.5897713631406085,0.78125,0.04234698414802551,2103.2923126220703,0.3977099359035492,0.9028852829774877
raw,42,tum_fr1_desk_val,random,0.1,0.06065090745687485,0.14877355098724365,0.40767262041993646,0.33996163084163195,0.25,0.0881226435303688,266.27310943603516,0.02407767064869404,0.1618410589147526
raw,42,tum_fr1_desk_val,random,0.2,0.07797348499298096,0.22372642159461975,0.34852156018053654,0.3708956596023649,0.25,0.1457529366016388,501.1737060546875,0.07297791540622711,0.2842206968974843
raw,42,tum_fr1_desk_val,random,0.4,0.12869754433631897,0.37412458658218384,0.34399648008186495,0.41383764072107665,0.3125,0.24542704224586487,1053.9393615722656,0.12869754433631897,0.34399653488657833
raw,42,tum_fr1_desk_val,random,0.6,0.13060513138771057,0.4049728810787201,0.3225033928562963,0.478221728948749,0.5416666666666666,0.2743677496910095,1595.1661529541016,0.15076375007629395,0.37228106449265425
raw,42,tum_fr1_desk_val,random,0.8,0.33425745368003845,0.44048771262168884,0.7588348925836331,0.5683479362940784,0.75,0.10623025894165039,2114.5233726501465,0.2870420813560486,0.6516459546398025
raw,42,tum_fr1_desk_val,oracle,0.1,0.14877355098724365,0.14877355098724365,0.9999999327837559,0.998689441429152,1.0,0.0,242.072265625,0.14877355098724365,0.9999999327837559
raw,42,tum_fr1_desk_val,oracle,0.2,0.22372642159461975,0.22372642159461975,0.9999999553025545,0.9989296875535879,1.0,0.0,524.999454498291,0.2567649483680725,0.9999999610538757
raw,42,tum_fr1_desk_val,oracle,0.4,0.37412458658218384,0.37412458658218384,0.9999999732709368,0.9991018014659692,1.0,0.0,1069.6543579101562,0.37412452697753906,0.9999999732709325
raw,42,tum_fr1_desk_val,oracle,0.6,0.4049728810787201,0.4049728810787201,0.9999999753069891,0.9991690715656091,1.0,0.0,1583.0228843688965,0.4049729108810425,0.9999999753069909
raw,42,tum_fr1_desk_val,oracle,0.8,0.44048771262168884,0.44048771262168884,0.9999999772978917,0.9992107276072697,1.0,0.0,2093.064628601074,0.4404877722263336,0.9999999772978947
raw,42,tum_fr2_xyz,learned,0.1,0.07509808987379074,0.09468899667263031,0.7931025206910077,0.782274356473826,0.75,0.01959090679883957,237.79576873779297,0.0946820080280304,0.9999260094188815
raw,42,tum_fr2_xyz,learned,0.2,0.14177903532981873,0.14344912767410278,0.9883575295650902,0.8715667233448344,0.625,0.0016700923442840576,481.6263732910156,0.15014159679412842,0.9483774495819829
raw,42,tum_fr2_xyz,learned,0.4,0.13758431375026703,0.23647519946098328,0.5818128423012031,0.8570769696993152,0.5625,0.09889088571071625,1015.1912498474121,0.14174135029315948,0.5794468979048617
raw,42,tum_fr2_xyz,learned,0.6,0.17774492502212524,0.23266978561878204,0.7639363955661505,0.8677848121307066,0.5833333333333334,0.0549248605966568,1528.4520263671875,0.1781393587589264,0.7352623313954773
raw,42,tum_fr2_xyz,learned,0.8,0.20393197238445282,0.2437291443347931,0.836715545750125,0.8968800104509516,0.75,0.03979717195034027,2010.874324798584,0.19604477286338806,0.7964295906669513
raw,42,tum_fr2_xyz,error_only,0.1,0.022101812064647675,0.09468899667263031,0.23341476314204662,0.4994131467375853,0.0,0.07258718460798264,253.43963241577148,0.032821349799633026,0.3466225739442735
raw,42,tum_fr2_xyz,error_only,0.2,0.013497275300323963,0.14344912767410278,0.09409101734015275,0.5711001802017363,0.25,0.12995185237377882,480.0172119140625,0.02185984142124653,0.13807886087541005
raw,42,tum_fr2_xyz,error_only,0.4,0.04569162800908089,0.23647519946098328,0.19321952653400518,0.6338610449163425,0.4375,0.1907835714519024,1002.3053932189941,0.045691631734371185,0.1867900525424193
raw,42,tum_fr2_xyz,error_only,0.6,0.12030698359012604,0.23266978561878204,0.5170717723380094,0.7213777055817587,0.7916666666666666,0.112362802028656,1518.325584411621,0.14539283514022827,0.6001025022104822
raw,42,tum_fr2_xyz,error_only,0.8,0.19761008024215698,0.2437291443347931,0.8107773597356118,0.8133988989623127,0.84375,0.04611906409263611,2037.7282829284668,0.22829017043113708,0.9274261401320633
raw,42,tum_fr2_xyz,heuristic,0.1,-0.013056713156402111,0.09468899667263031,-0.13789048607874066,0.4293510688057022,0.0,0.10774570982903242,247.5664291381836,-0.0013752956874668598,-0.014524342662151942
raw,42,tum_fr2_xyz,heuristic,0.2,0.006205469369888306,0.14344912767410278,0.04325902177248567,0.5211627840012566,0.125,0.13724365830421448,483.7666473388672,0.013152655214071274,0.0830794521537944
raw,42,tum_fr2_xyz,heuristic,0.4,0.09066615253686905,0.23647519946098328,0.3834065851703086,0.6480782423757502,0.5625,0.14580904692411423,981.9263038635254,0.10484453290700912,0.4286105588072879
raw,42,tum_fr2_xyz,heuristic,0.6,0.12283164262771606,0.23266978561878204,0.5279225964893597,0.6994000684442521,0.75,0.10983814299106598,1513.3759231567383,0.10432889312505722,0.4306128961362691
raw,42,tum_fr2_xyz,heuristic,0.8,0.15776990354061127,0.2437291443347931,0.6473165016766692,0.7837634844069536,0.84375,0.08595924079418182,2025.539234161377,0.18844999372959137,0.7655758895027249
raw,42,tum_fr2_xyz,random,0.1,0.029036005958914757,0.09468899667263031,0.3066460086470372,0.6709944369914312,0.25,0.06565299071371555,238.64532852172852,0.029036005958914757,0.3066459845186753
raw,42,tum_fr2_xyz,random,0.2,0.005260948091745377,0.14344912767410278,0.0366746581892848,0.6308344263501502,0.25,0.1381881795823574,490.67428970336914,7.88824399933219e-05,0.0004982651633860606
raw,42,tum_fr2_xyz,random,0.4,0.10175710916519165,0.23647519946098328,0.4303077239983621,0.7226708619804041,0.4375,0.13471809029579163,986.7052268981934,0.08689206093549728,0.35521980746971904
raw,42,tum_fr2_xyz,random,0.6,0.10297159105539322,0.23266978561878204,0.44256535654549284,0.776653179420636,0.5416666666666666,0.12969819456338882,1528.574951171875,0.10297159850597382,0.42501072257411804
raw,42,tum_fr2_xyz,random,0.8,0.15030041337013245,0.2437291443347931,0.6166698185136918,0.8252794601805842,0.78125,0.09342873096466064,2033.7995834350586,0.1501648724079132,0.6100430331173811
raw,42,tum_fr2_xyz,oracle,0.1,0.09468899667263031,0.09468899667263031,0.9999998943911195,0.9980827636077293,1.0,0.0,236.42148208618164,0.09468900412321091,0.9999998943911278
raw,42,tum_fr2_xyz,oracle,0.2,0.14344912767410278,0.14344912767410278,0.9999999302888803,0.9985349673611575,1.0,0.0,504.7238426208496,0.15831416845321655,0.9999999368344636
raw,42,tum_fr2_xyz,oracle,0.4,0.23647519946098328,0.23647519946098328,0.9999999577122692,0.9988811290201598,1.0,0.0,1000.6325302124023,0.24461489915847778,0.9999999591194174
